Numéro;Référence;Titre;Nom;Prénom;Civilité;Circonscription;Groupe;Type Appartenance;Date de publication JO;Ministère de dépôt;Ministère de réponse;Thème(s);URL Question
0128G;SEQ83050128G;"Livre ""Suicide mode d'emploi""";Dailly;Etienne;M.;Seine-et-Marne;G.D.;;1983-05-20;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83050128G.html
0129G;SEQ83050129G;Revenus agricoles de 1982;Tajan;Pierre;M.;Tarn-et-Garonne;GD-SRG;;1983-05-20;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83050129G.html
0130G;SEQ83050130G;Vignette sur les alcools;Rigou;Michel;M.;Charente-Maritime;GD-SRG;;1983-05-20;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83050130G.html
0131G;SEQ83060131G;Elections régionales: date et modalités;Puech;Jean;M.;Aveyron;U.R.E.I.;;1983-06-17;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83060131G.html
0132G;SEQ83060132G;Transports scolaires (arrêté du 2 juillet 1982);de Bourgoing;Philippe;M.;Calvados;U.R.E.I.;;1983-06-17;Transports;Transports;;http://www.senat.fr/questions/base/1983/qSEQ83060132G.html
0133G;SEQ83060133G;Fraudes électorales;Giraud;Michel;M.;Val-de-Marne;RPR;;1983-06-17;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83060133G.html
0134G;SEQ83060134G;Malaise dans la police;Chérioux;Jean;M.;Paris;RPR;;1983-06-17;Sécurité publique;Sécurité publique;;http://www.senat.fr/questions/base/1983/qSEQ83060134G.html
0135G;SEQ83060135G;Entrée de l'Espagne dans le marché commun;Bialski;Jacques;M.;Nord;SOC;;1983-06-17;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83060135G.html
0136G;SEQ83060136G;Sauvegarde de l'agriculture et de la viticulture méditerranéennes;Delfau;Gérard;M.;Hérault;SOC;;1983-06-17;Affaires européennes;Affaires européennes;;http://www.senat.fr/questions/base/1983/qSEQ83060136G.html
0137G;SEQ83060137G;Prêts aux collectivités territoriales;Régnault;René;M.;Côtes du Nord;SOC;;1983-06-17;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83060137G.html
0138G;SEQ83060138G;Sanctions dans la police;Colin;Jean;M.;Essonne;U.C.D.P.;;1983-06-17;Sécurité publique;Sécurité publique;;http://www.senat.fr/questions/base/1983/qSEQ83060138G.html
0139G;SEQ83060139G;Situation de l'emploi;Poudonson;Roger;M.;Pas-de-Calais;U.C.D.P.;;1983-06-17;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83060139G.html
0140G;SEQ83060140G;Situation de l'emploi;Arzel;Alphonse;M.;Finistère;U.C.D.P.;;1983-06-17;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83060140G.html
0141G;SEQ83060141G;Situation de l'industrie navale;Minetti;Louis;M.;Bouches-du-Rhône;C;;1983-06-17;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83060141G.html
0142G;SEQ83060142G;Situation de l'entreprise Boussac à Abbeville;Lejeune;Max;M.;Somme;G.D.;;1983-06-17;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83060142G.html
0143G;SEQ83060143G;Dotation globale d'équipement;Brives;Louis;M.;Tarn;GD-SRG;;1983-06-17;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83060143G.html
0144G;SEQ83060144G;Centrale nucléaire de Golfech;Caillavet;Henri;M.;Lot-et-Garonne;GD-SRG;;1983-06-17;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83060144G.html
0145G;SEQ83060145G;Ecoles françaises à l'étranger et conseil supérieur des Français de l'étranger;Habert;Jacques;M.;Français établis hors de France;NI;;1983-06-17;Relations extérieures;Relations extérieures;;http://www.senat.fr/questions/base/1983/qSEQ83060145G.html
0146G;SEQ83100146G;Elaboration de la nouvelle convention de Lomé;Benard;Paul;M.;La Réunion;RPR;;1983-10-14;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83100146G.html
0147G;SEQ83100147G;Frais entraînés par les élections aux conseils d'administration des caisses de la sécurité sociale;Souvet;Louis;M.;Doubs;RPR;;1983-10-14;Famille;Famille;;http://www.senat.fr/questions/base/1983/qSEQ83100147G.html
0148G;SEQ83100148G;Lutte contre le terrorisme;Fosset;André;M.;Hauts-de-Seine;U.C.D.P.;;1983-10-14;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83100148G.html
0149G;SEQ83100149G;Elargissement de la communauté économique européenne;Alduy;Paul;M.;Pyrénées-Orientales;U.C.D.P.;;1983-10-14;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83100149G.html
0150G;SEQ83100150G;Election aux conseils d'administration des caisses de la sécurité sociale;Colin;Jean;M.;Essonne;U.C.D.P.;;1983-10-14;Famille;Famille;;http://www.senat.fr/questions/base/1983/qSEQ83100150G.html
0151G;SEQ83100151G;Grèves du tri postal;Maurice-Bokanowski;Michel;M.;Hauts-de-Seine;RPR;;1983-10-14;Postes;Postes;;http://www.senat.fr/questions/base/1983/qSEQ83100151G.html
0152G;SEQ83100152G;Taxe communale sur la consommation d'électricité;de Bourgoing;Philippe;M.;Calvados;U.R.E.I.;;1983-10-14;Intérieur;Départements et territoires d'Outre-mer (DOM-TOM);;http://www.senat.fr/questions/base/1983/qSEQ83100152G.html
0153G;SEQ83100153G;Position actuelle de cinq avions Super-Etendard;Cabanel;Guy-Pierre;M.;Isère;U.R.E.I.;;1983-10-14;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83100153G.html
0154G;SEQ83100154G;Sauvetage de l'entreprise sucrière de Beauport en Guadeloupe;Gargar;Marcel;M.;Guadeloupe;C;;1983-10-14;Économie;Départements et territoires d'Outre-mer (DOM-TOM);;http://www.senat.fr/questions/base/1983/qSEQ83100154G.html
0155G;SEQ83100155G;Licenciements à l'usine SKF d'Ivry-sur-Seine;Luc;Hélène;Mme;Val-de-Marne;C;;1983-10-14;Postes;Postes;;http://www.senat.fr/questions/base/1983/qSEQ83100155G.html
0156G;SEQ83100156G;Difficultés des tanneries françaises;Janetti;Maurice;M.;Var;SOC;;1983-10-14;Postes;Postes;;http://www.senat.fr/questions/base/1983/qSEQ83100156G.html
0157G;SEQ83100157G;Voyage du premier ministre en Algérie;Ciccolini;Félix;M.;Bouches-du-Rhône;SOC;;1983-10-14;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83100157G.html
0158G;SEQ83100158G;Rentrée scolaire;Delfau;Gérard;M.;Hérault;SOC;;1983-10-14;Éducation;Éducation;;http://www.senat.fr/questions/base/1983/qSEQ83100158G.html
0159G;SEQ83100159G;Téléfrance U.S.A.;Bonduel;Stéphane;M.;Charente-Maritime;GD-SRG;;1983-10-14;Communication;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83100159G.html
0160G;SEQ83100160G;Elections au comité régional des prêts;Moinet;Josy;M.;Charente-Maritime;G.D.;;1983-10-14;Intérieur;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83100160G.html
0161G;SEQ83100161G;Elections aux conseils d'administration des caisses de sécurité sociale;Cantegrit;Jean-Pierre;M.;Français établis hors de France;G.D.;;1983-10-14;Rapatriés;Rapatriés;;http://www.senat.fr/questions/base/1983/qSEQ83100161G.html
0162G;SEQ83110162G;Elections au Parlement européen;Chauvin;Adolphe;M.;Val-d'Oise;U.C.D.P.;;1983-11-11;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83110162G.html
0163G;SEQ83110163G;Dégrèvements fiscaux en faveur d'une personnalité politique;Colin;Jean;M.;Essonne;U.C.D.P.;;1983-11-11;Budget;Budget;;http://www.senat.fr/questions/base/1983/qSEQ83110163G.html
0164G;SEQ83110164G;Politique industrielle communautaire;Arthuis;Jean;M.;Mayenne;U.C.D.P.;;1983-11-11;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83110164G.html
0166G;SEQ83110166G;Législation française sur les carburants;Mathieu;Serge;M.;Rhône;U.R.E.I.;;1983-11-11;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83110166G.html
0167G;SEQ83110167G;Industrie automobile: plan de relance;Schmaus;Guy;M.;Hauts-de-Seine;C;;1983-11-11;Industrie;Industrie;;http://www.senat.fr/questions/base/1983/qSEQ83110167G.html
0168G;SEQ83110168G;Campagne alarmiste sur l'industrie ferroviaire;Dumont;Raymond;M.;Pas-de-Calais;C;;1983-11-11;Transports;Transports;;http://www.senat.fr/questions/base/1983/qSEQ83110168G.html
0169G;SEQ83110169G;Situation des pompistes;Delelis;André;M.;Pas-de-Calais;SOC;;1983-11-11;Industrie;Industrie;;http://www.senat.fr/questions/base/1983/qSEQ83110169G.html
0170G;SEQ83110170G;Visite du Président Chadli;Matraja;Pierre;M.;Bouches-du-Rhône;SOC;;1983-11-11;Relations extérieures;Coopération;;http://www.senat.fr/questions/base/1983/qSEQ83110170G.html
0171G;SEQ83110171G;Enseignement français à l'étranger;Bayle;Jean-Pierre;M.;Français établis hors de France;SOC;;1983-11-11;Coopération;Coopération;;http://www.senat.fr/questions/base/1983/qSEQ83110171G.html
0172G;SEQ83110172G;Statut de la presse;Gros;Brigitte;Mme;Yvelines;G.D.;;1983-11-11;Communication;Communication;;http://www.senat.fr/questions/base/1983/qSEQ83110172G.html
0173G;SEQ83110173G;Industrie des engrais: compagnie française de l'azote de Mont-Notre-Dame (Aisne);Pelletier;Jacques;M.;Aisne;G.D.;;1983-11-11;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83110173G.html
0174G;SEQ83110174G;Situation des préretraités et retraités;Beranger;Jean;M.;Yvelines;GD-SRG;;1983-11-11;Affaires sociales;Premier ministre (Plan);;http://www.senat.fr/questions/base/1983/qSEQ83110174G.html
0175G;SEQ83110175G;Ecoles françaises à l'étranger;Habert;Jacques;M.;Français établis hors de France;NI;;1983-11-11;Éducation;Coopération;;http://www.senat.fr/questions/base/1983/qSEQ83110175G.html
0176G;SEQ83110176G;Prélèvement sur le fonds de garantie des caisses d'épargne;Moulin;Arthur;M.;Nord;RPR;;1983-11-11;Premier ministre (Plan);Premier ministre (Plan);;http://www.senat.fr/questions/base/1983/qSEQ83110176G.html
0177G;SEQ83110177G;Prix des carburants;Belcour;Henri;M.;Corrèze;RPR;;1983-11-11;Premier ministre (Plan);Premier ministre (Plan);;http://www.senat.fr/questions/base/1983/qSEQ83110177G.html
0178G;SEQ83110178G;Rachat par une société américaine de la société Messier;Cazalet;Auguste;M.;Pyrénées-Atlantiques;RPR;;1983-11-11;Transports;Transports;;http://www.senat.fr/questions/base/1983/qSEQ83110178G.html
0165G;SEQ83110165G;Liberté de la presse écrite;du Luart;Roland;M.;Sarthe;U.R.E.I.;;1983-11-17;Premier ministre;Communication;;http://www.senat.fr/questions/base/1983/qSEQ83110165G.html
0179G;SEQ83120179G;Application de l'article 10 de la Constitution;Larché;Jacques;M.;Seine-et-Marne;U.R.E.I.;;1983-12-16;Premier ministre;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83120179G.html
0180G;SEQ83120180G;Mutations de personnels du ministère des Affaires sociales et de la solidarité nationale;Pouille;Richard;M.;Meurthe-et-Moselle;U.R.E.I.;;1983-12-16;Affaires sociales;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83120180G.html
0181G;SEQ83120181G;Fourniture de ciment à l'Algérie;Dumont;Raymond;M.;Pas-de-Calais;C;;1983-12-16;Énergie;Énergie;;http://www.senat.fr/questions/base/1983/qSEQ83120181G.html
0182G;SEQ83120182G;Aide aux familles;Le Bellegou-Beguin;Geneviève;Mme;Var;SOC;;1983-12-16;Famille;Personnes âgées;;http://www.senat.fr/questions/base/1983/qSEQ83120182G.html
0183G;SEQ83120183G;Coopération avec l'Argentine;Longequeue;Louis;M.;Haute-Vienne;SOC;;1983-12-16;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83120183G.html
0184G;SEQ83120184G;Prise en charge des frais de tutelle d'Etat;Régnault;René;M.;Côtes du Nord;SOC;;1983-12-16;Affaires sociales;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83120184G.html
0185G;SEQ83120185G;Crise industrielle dans la Somme;Lejeune;Max;M.;Somme;G.D.;;1983-12-16;Énergie;Énergie;;http://www.senat.fr/questions/base/1983/qSEQ83120185G.html
0186G;SEQ83120186G;Personnel de l'institut scientifique et technique des pêches;Bonduel;Stéphane;M.;Charente-Maritime;GD-SRG;;1983-12-16;Mer;Mer;;http://www.senat.fr/questions/base/1983/qSEQ83120186G.html
0187G;SEQ83120187G;Elections régionales;Lombard;Maurice;M.;Côte-d'Or;RPR;;1983-12-16;Intérieur;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83120187G.html
0188G;SEQ83120188G;Sommet d'Athènes;Amelin;Jean;M.;Marne;RPR;;1983-12-16;Agriculture;Agriculture;;http://www.senat.fr/questions/base/1983/qSEQ83120188G.html
0189G;SEQ83120189G;Classement des communes des Pyrénées-Atlantiques;Cazalet;Auguste;M.;Pyrénées-Atlantiques;RPR;;1983-12-16;Agriculture;Agriculture;;http://www.senat.fr/questions/base/1983/qSEQ83120189G.html
0190G;SEQ83120190G;Déclarations de M. le Secrétaire d'Etat chargé des techniques de la communication;Chauvin;Adolphe;M.;Val-d'Oise;U.C.D.P.;;1983-12-16;Communication;Communication;;http://www.senat.fr/questions/base/1983/qSEQ83120190G.html
0191G;SEQ83120191G;Déclarations sur l'enseignement privé;Mossion;Jacques;M.;Somme;U.C.D.P.;;1983-12-16;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83120191G.html
0192G;SEQ83120192G;Défense des droits de l'homme;Schiele;Pierre;M.;Haut-Rhin;U.C.D.P.;;1983-12-16;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83120192G.html
0194G;SEQ84040194G;Accord agricole européen;Janetti;Maurice;M.;Var;SOC;;1984-04-13;Agriculture;Agriculture;;http://www.senat.fr/questions/base/1984/qSEQ84040194G.html
0195G;SEQ84040195G;Productions agricoles méditerranéennes;Courteau;Roland;M.;Aude;SOC;;1984-04-13;Agriculture;Agriculture;;http://www.senat.fr/questions/base/1984/qSEQ84040195G.html
0196G;SEQ84040196G;Fermeture d'abattoirs municipaux dans le département de l'Indre;Besse;Guy;M.;Indre;G.D.;;1984-04-13;Agriculture;Agriculture;;http://www.senat.fr/questions/base/1984/qSEQ84040196G.html
0197G;SEQ84040197G;Avenir de la sidérurgie et redéploiement industriel;Souffrin;Paul;M.;Moselle;C;;1984-04-13;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1984/qSEQ84040197G.html
0198G;SEQ84040198G;Avenir de la sidérurgie et redéploiement industriel;Minetti;Louis;M.;Bouches-du-Rhône;C;;1984-04-13;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1984/qSEQ84040198G.html
0199G;SEQ84040199G;Mutations industrielles: contribution des entreprises et conséquences pour certaines régions;Meric;André;M.;Haute-Garonne;SOC;;1984-04-13;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1984/qSEQ84040199G.html
0200G;SEQ84040200G;Avenir de la sidérurgie et redéploiement industriel;Husson;Roger;M.;Moselle;RPR;;1984-04-13;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1984/qSEQ84040200G.html
0201G;SEQ84040201G;Avenir de la sidérurgie et redéploiement industriel;Francou;Jean;M.;Bouches-du-Rhône;UC;;1984-04-13;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1984/qSEQ84040201G.html
0202G;SEQ84040202G;Avenir de la sidérurgie et redéploiement industriel;Boileau;Roger;M.;Meurthe-et-Moselle;UC;;1984-04-13;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1984/qSEQ84040202G.html
0203G;SEQ84040203G;Avenir de la sidérurgie et redéploiement industriel;Martin;Hubert;M.;Meurthe-et-Moselle;U.R.E.I.;;1984-04-13;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1984/qSEQ84040203G.html
0204G;SEQ84040204G;Rachat de Dunlop-France par le groupe japonais Sumitomo;Robert;Paul;M.;Cantal;G.D.;;1984-04-13;Industrie;Industrie;;http://www.senat.fr/questions/base/1984/qSEQ84040204G.html
0205G;SEQ84040205G;Transferts et annulations de crédits;Jouany;André;M.;Tarn-et-Garonne;GD-SRG;;1984-04-13;Économie;Budget;;http://www.senat.fr/questions/base/1984/qSEQ84040205G.html
0206G;SEQ84040206G;Militaires tués au Tchad;Girod;Paul;M.;Aisne;G.D.;;1984-04-13;Défense;Défense;;http://www.senat.fr/questions/base/1984/qSEQ84040206G.html
0207G;SEQ84040207G;Concertation avec le conseil supérieur des Français de l'étranger;Habert;Jacques;M.;Français établis hors de France;NI;;1984-04-13;Relations extérieures;Relations extérieures;;http://www.senat.fr/questions/base/1984/qSEQ84040207G.html
0208G;SEQ84040208G;Politique salariale dans la fonction publique;Arthuis;Jean;M.;Mayenne;UC;;1984-04-13;Fonction publique;Fonction publique;;http://www.senat.fr/questions/base/1984/qSEQ84040208G.html
0209G;SEQ84040209G;Incohérence de la politique budgétaire;Male;Guy;M.;Pyrénées-Orientales;UC;;1984-04-13;Budget;Budget;;http://www.senat.fr/questions/base/1984/qSEQ84040209G.html
0193G;SEQ84040193G;Problèmes laitiers;de Bourgoing;Philippe;M.;Calvados;U.R.E.I.;;1984-04-18;Agriculture;Agriculture;;http://www.senat.fr/questions/base/1984/qSEQ84040193G.html
0210G;SEQ84050210G;Rentrée scolaire 1984;Luc;Hélène;Mme;Val-de-Marne;C;;1984-05-11;Éducation;Éducation;;http://www.senat.fr/questions/base/1984/qSEQ84050210G.html
0211G;SEQ84050211G;Activité économique dans la vallée de la Seine (Yvelines);Martin;René;M.;Yvelines;C;;1984-05-11;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1984/qSEQ84050211G.html
0212G;SEQ84050212G;Evénements de Guadeloupe;Dagonia;Georges;M.;Guadeloupe;SOC;;1984-05-11;Sécurité publique;Sécurité publique;;http://www.senat.fr/questions/base/1984/qSEQ84050212G.html
0213G;SEQ84050213G;Extension des allègements des charges sociales;Ramassamy;Albert;M.;La Réunion;SOC;;1984-05-11;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1984/qSEQ84050213G.html
0214G;SEQ84050214G;"Versement de la dotation ""instituteurs""";Schwint;Robert;M.;Doubs;SOC;;1984-05-11;Intérieur;Sécurité publique;;http://www.senat.fr/questions/base/1984/qSEQ84050214G.html
0215G;SEQ84050215G;Aide à l'habitat des personnes âgées;Mouly;Georges;M.;Corrèze;G.D.;;1984-05-11;Personnes âgées;Personnes âgées;;http://www.senat.fr/questions/base/1984/qSEQ84050215G.html
0216G;SEQ84050216G;Accroissement des dépenses d'aide sociale des départements;Beranger;Jean;M.;Yvelines;GD-SRG;;1984-05-11;Sécurité publique;Sécurité publique;;http://www.senat.fr/questions/base/1984/qSEQ84050216G.html
0217G;SEQ84050217G;Devenir du bassin de Lacq (Pyrénées-Atlantiques);Moutet;Jacques;M.;Pyrénées-Atlantiques;G.D.;;1984-05-11;Industrie;Industrie;;http://www.senat.fr/questions/base/1984/qSEQ84050217G.html
0218G;SEQ84050218G;Protection sociale des Français de l'étranger;Roux;Olivier;M.;Français établis hors de France;NI;;1984-05-11;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1984/qSEQ84050218G.html
0219G;SEQ84050219G;Passeport obligatoire pour les Britanniques;Collette;Henri;M.;Pas-de-Calais;RPR;;1984-05-11;Relations extérieures;Relations extérieures;;http://www.senat.fr/questions/base/1984/qSEQ84050219G.html
0220G;SEQ84050220G;Retrait de Pau du premier régiment de chasseurs-parachutistes;Duboscq;Franz;M.;Pyrénées-Atlantiques;RPR;;1984-05-11;Défense;Relations extérieures;;http://www.senat.fr/questions/base/1984/qSEQ84050220G.html
0221G;SEQ84050221G;Aides ménagères à domicile;Vallon;Pierre;M.;Rhône;UC;;1984-05-11;Personnes âgées;Personnes âgées;;http://www.senat.fr/questions/base/1984/qSEQ84050221G.html
