REF,ETUD,LOCA,REG,DPT,COM,INSEE,TICO,ADRS,STAT,AFFE,PPRO,DPRO,AUTR,SCLE,,,,,,,,,,,,,,,,,,,,,
PA64000031,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Bernadets,Aquitaine,64,Bernadets,64114,Château de Bernadets,,propriété d'une personne privée,,La chapelle (cad. A 854) : inscription par arrêté du 19 avril 1999,1999/04/19 : inscrit MH,,4e quart 18e siècle , 1ère moitié 19e siècle,,,,,,,,,,,,,,,,,,
PA47000041,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Mézin,Aquitaine,47,Mézin,47167,Eglise Saint-Barthélémy de Trignan,,propriété de la commune,,"Eglise avec son presbytère, son porche, l'ancien logement attenant au porche et le mur de clôture du cimetière (cad. G 105, 104) : inscription par arrêté du 19 avril 1999",1999/04/19 : inscrit MH,,13e siècle , 18e siècle,,,,,,,,,,,,,,,,,,
PA47000040,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Lamontjoie,Aquitaine,47,Lamontjoie,47133,Château d'Escalup,,propriété privée,,Château avec son fossé (cad. C 642) : inscription par arrêté du 29 avril 1999,1999/04/29 : inscrit MH,,13e siècle , 17e siècle,,,,,,,,,,,,,,,,,,
PA47000039,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Fumel,Aquitaine,47,Fumel,47106,Fonderie,Usine (avenue de l') 1 , Lions (impasse des) 5,propriété d'un établissement public communal,,"La machine soufflante, ainsi que le bâtiment qui l'abrite (cad. AE 414) : classement par arrêté du 3 septembre 2009",2009/09/03 : classé MH,,2e moitié 19e siècle,,,,,,,,,,,,,,,,,,
PA40000030,recensement immeubles MH,Aquitaine , Landes , Sainte-Marie-de-Gosse,Aquitaine,40,Sainte-Marie-de-Gosse,40271,Eglise Sainte-Marie,,propriété de la commune,,Eglise (cad. I 189) : inscription par arrêté du 1er février 1999,1999/02/01 : inscrit MH,,11e siècle , 12e siècle , 16e siècle,,,,,,,,,,,,,,,,,
PA40000029,recensement immeubles MH,Aquitaine , Landes , Saint-Justin,Aquitaine,40,Saint-Justin,40267,Domaine de Fondat,,propriété d'une personne privée,,Château de Fondat (cad. O 153) ," parc et dépendances (cad. O 146, 151, 152, 155, 156, 158, 160, 163, 165, 166) : inscription par arrêté du 31 mars 1999",1999/03/31 : inscrit MH,,17e siècle , 19e siècle,,,,,,,,,,,,,,,,,
PA40000028,recensement immeubles MH,Aquitaine , Landes , Cauneille,Aquitaine,40,Cauneille,40077,Domaine du Pourtaou et de la Gloriette (maison de Jean Rameau),,propriété d'une personne privée,,Logis (cad. AI 23) , sol d'assiette du jardin situé sur les parcelles (cad. AI 22 à 25) , gloriette (cad. WD 20) : inscription par arrêté du 1er février 1999,1999/02/01 : inscrit MH,Rameau Jean (maître de l'oeuvre),limite 19e siècle 20e siècle,,,,,,,,,,,,,,,,,
PA33000022,recensement immeubles MH,Aquitaine , Gironde , Saint-Pey-de-Castets,Aquitaine,33,Saint-Pey-de-Castets,33460,Eglise Saint-Pierre et vestiges du prieuré,,propriété de la commune , propriété d'une personne privée,,"Eglise (cad. ZK 4) et vestiges de l'ancien prieuré comprenant : l'ancien presbytère (cad. ZK 4) , l'ancienne chapelle (cad. ZK 1, 2) , l'emplacement des bâtiments prieuraux détruits (cad. ZK 3, 4) , le cloître avec son puits (cad. ZK 4) : inscription par arrêté du 30 avril 1999",1999/04/30 : inscrit MH,,11e siècle , 14e siècle , 4e quart 15e siècle , 1er quart 16e siècle,,,,,,,,,,,,,,,
PA33000021,recensement immeubles MH,Aquitaine , Gironde , Langoiran,Aquitaine,33,Langoiran,33226,Maison dite maison Bouliac ou maison Rateau,,propriété d'une personne privée,,"La maison avec ses deux ailes (cad. B 512, 657) : inscription par arrêté du 29 avril 1999 - Les murs et la grille de clôture de la maison (cad. B 514, 861) : inscription par arrêté du 3 juillet 2009",1999/04/29 : inscrit MH , 2009/07/03 : inscrit MH,,1er quart 19e siècle,,,,,,,,,,,,,,,,,,
PA33000020,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Mirail (rue du) 28,propriété d'une personne privée,,"Immeuble, à l'exception du bâtiment en brique (cad. DP 188) : inscription par arrêté du 13 janvier 1999",1999/01/13 : inscrit MH,"Laclotte (?, maître de l'oeuvre)",1ère moitié 17e siècle , 2e moitié 18e siècle,,,,,,,,,,,,,,,,,,
PA24000025,recensement immeubles MH,Aquitaine , Dordogne , Saint-Front-sur-Nizonne,Aquitaine,24,Saint-Front-sur-Nizonne,24411,Ancienne résidence médiévale dite du Repaire,,propriété d'une personne privée,,Ancienne résidence (cad. C 286) : inscription par arrêté du 29 avril 1999,1999/04/29 : inscrit MH,,milieu 13e siècle,,,,,,,,,,,,,,,,,,,
PA64000030,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Sault-de-Navailles,Aquitaine,64,Sault-de-Navailles,64510,Ancien château de Sault,,propriété d'une personne privée,,"Vestiges et tour de l'ancien château, ainsi que la motte sur laquelle est élevée celle-ci et la basse-cour attenante (cad. B 437) : inscription par arrêté du 26 novembre 1998",1998/11/26 : inscrit MH,,11e siècle , 12e siècle , 13e siècle , 14e siècle,,,,,,,,,,,,,,,,
PA64000029,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Castet,Aquitaine,64,Castet,64175,Château de Castet dit Tour Abadie,,propriété de la commune , propriété d'une personne privée,,"Le château, en totalité, avec sa motte, ses retranchements, ses fortifications en pierre et le sol compris à l'intérieur de l'enceinte (cad. A 128, 138, 141 à 144, 147) : inscription par arrêté du 8 octobre 1998",1998/10/08 : inscrit MH,,12e siècle , 13e siècle,,,,,,,,,,,,,,,,,
PA64000028,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Rébénacq,Aquitaine,64,Rébénacq,64463,Château de Bitaubé,,propriété d'une personne privée,,"Façades et toitures du château et de ses dépendances ainsi que les espaces extérieurs, c'est-à-dire les terrasses, les jardins d'agrément ouest et est avec murs et haies de clôture ainsi que les escaliers d'accès (cad. C 473, 30) : inscription par arrêté du 9 juillet 1998",1998/07/09 : inscrit MH,,4e quart 18e siècle,,,,,,,,,,,,,,,,,,,
PA64000027,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Sévignacq-Meyracq,Aquitaine,64,Sévignacq-Meyracq,64522,Château de Sévignac dit château d'Etigny (ancienne abbaye laïque),,propriété d'une personne privée,,Façades et toitures du château , façades et toitures de la grange et des écuries ," parc avec ses terrasses, son belvédère et ses murs de clôture "," jardin avec ses terrasses, son puits et ses murs de clôture "," pigeonnier (cad. D 233, 237, 234, 235) : inscription par arrêté du 9 juillet 1998",1998/07/09 : inscrit MH,,1er quart 17e siècle , 19e siècle,,,,,,,,,,,,,,
PA64000026,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Bayonne,Aquitaine,64,Bayonne,64102,Cimetière juif de Bayonne,14-Avril (avenue du) , Hargous (chemin d'),propriété d'une association cultuelle,,Sol du cimetière , façades et toitures du dépositoire (cad. AY 205) : inscription par arrêté du 15 juillet 1998,1998/07/15 : inscrit MH,,17e siècle , 18e siècle , 19e siècle,,,,,,,,,,,,,,,
PA47000038,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Bruch,Aquitaine,47,Bruch,47041,Café-restaurant de la Paix,,propriété privée,,Le mur peint du café-restaurant (cad. C 267) : inscription par arrêté du 15 juillet 1998,1998/07/15 : inscrit MH,,3e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA47000037,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Seyches,Aquitaine,47,Seyches,47301,Eglise Saint-Jean-Baptiste,,propriété de la commune,,L'église en totalité et l'ancienne porte de ville qui lui est attenante et sert de clocher (cad. H 372) : inscription par arrêté du 26 novembre 1998,1998/11/26 : inscrit MH,Masutti Carlo (peintre),4e quart 17e siècle , 4e quart 19e siècle,,,,,,,,,,,,,,,,,,
PA47000036,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Casteljaloux,Aquitaine,47,Casteljaloux,47052,Eglise Notre-Dame de l'Assomption,,propriété de la commune , propriété d'une société privée,,"Eglise, en totalité, et le portique attenant à l'église fermant sur la rue la parcelle 88 (cad. AD 88, 89) : inscription par arrêté du 26 novembre 1998",1998/11/26 : inscrit MH,Marsaudon Michel (architecte) , Marsaudon Jean (architecte),17e siècle , 18e siècle , 19e siècle,,,,,,,,,,,,,,,
PA47000035,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Casteljaloux,Aquitaine,47,Casteljaloux,47052,Ancien couvent des Cordeliers,Hôpital (rue de l') 11,propriété d'un établissement public communal,,Eglise (cad. AD 848) : inscription par arrêté du 26 novembre 1998,1998/11/26 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA47000034,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Allons,Aquitaine,47,Allons,47007,Maison forte de Capchicot,,propriété d'une personne privée,,Façades et toitures (cad. AE 101) : inscription par arrêté du 26 novembre 1998,1998/11/26 : inscrit MH,,16e siècle , 1er quart 17e siècle,,,,,,,,,,,,,,,,,,
PA47000033,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Blaymont,Aquitaine,47,Blaymont,47030,Eglise Sainte-Foy,,propriété de la commune,,"Eglise en totalité, avec le sol du cimetière qui lui est attenant (cad. WK 12) : inscription par arrêté du 8 octobre 1998",1998/10/08 : inscrit MH,,12e siècle , 13e siècle , 14e siècle , 15e siècle,,,,,,,,,,,,,,,,
PA47000032,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Saint-Maurin,Aquitaine,47,Saint-Maurin,47260,Eglise Saint-Pierre del Pech,,propriété de la commune,,Eglise (cad. G 921) et sol du cimetière attenant (cad. G 922) : inscription par arrêté du 9 juillet 1998,1998/07/09 : inscrit MH,,12e siècle , 15e siècle , 19e siècle,,,,,,,,,,,,,,,,,
PA47000031,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Massels,Aquitaine,47,Massels,47161,Château de Lacam,,propriété d'une personne privée,,Logis et ses deux ailes en retour d'équerre , façades et toitures des communs , puits (cad. A 214) : inscription par arrêté du 9 juillet 1998,1998/07/09 : inscrit MH,,4e quart 17e siècle,,,,,,,,,,,,,,,,,
PA47000030,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Granges-sur-Lot,Aquitaine,47,Granges-sur-Lot,47111,Ancien café le Sébastopol,Papon-Lagrave (place),propriété d'une personne privée,,"Maison abritant la salle du café avec son décor peint, en totalité (cad. B 618) : inscription par arrêté du 22 juillet 1998",1998/07/22 : inscrit MH,,19e siècle,,,,,,,,,,,,,,,,,,,
PA47000029,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Tayrac,Aquitaine,47,Tayrac,47305,Eglise Saint-Amand,,propriété de la commune,,Eglise en totalité (cad. C 462) : inscription par arrêté du 18 juin 1998,1998/06/18 : inscrit MH,,12e siècle , 16e siècle , 17e siècle , 19e siècle,,,,,,,,,,,,,,,,
PA40000027,recensement immeubles MH,Aquitaine , Landes , Poyartin,Aquitaine,40,Poyartin,40236,Eglise Saint-Barthélémy,,propriété de la commune,,Eglise en totalité (cad. C 282) : inscription par arrêté du 13 janvier 1998,1998/01/13 : inscrit MH,,14e siècle , 15e siècle , 16e siècle,,,,,,,,,,,,,,,,,
PA40000026,recensement immeubles MH,Aquitaine , Landes , Parleboscq,Aquitaine,40,Parleboscq,40218,Eglise Notre-Dame de Mauras,,propriété de la commune,,Eglise en totalité (cad. M 54) : inscription par arrêté du 6 janvier 1998,1998/01/06 : inscrit MH,,14e siècle , 15e siècle , 16e siècle,,,,,,,,,,,,,,,,,
PA40000025,recensement immeubles MH,Aquitaine , Landes , Parleboscq,Aquitaine,40,Parleboscq,40218,Eglise Saint-Martin d'Espérous,,propriété d'un établissement public communal,,Eglise en totalité (cad. B 161) : inscription par arrêté du 13 janvier 1998,1998/01/13 : inscrit MH,,13e siècle , 14e siècle , 16e siècle , 19e siècle,,,,,,,,,,,,,,,,
PA40000024,recensement immeubles MH,Aquitaine , Landes , Parleboscq,Aquitaine,40,Parleboscq,40218,Eglise Saint-André de Bouau,,propriété de la commune,,"Eglise en totalité, et les deux édicules qui la précèdent à l'ouest (cad. L 167, 168) : inscription par arrêté du 6 janvier 1998",1998/01/06 : inscrit MH,,14e siècle , 16e siècle , 19e siècle,,,,,,,,,,,,,,,,,
PA40000023,recensement immeubles MH,Aquitaine , Landes , Bourdalat,Aquitaine,40,Bourdalat,40052,Eglise Saint-Jean-Baptiste,,propriété de la commune,,Eglise en totalité (cad. A 286) : inscription par arrêté du 6 janvier 1998,1998/01/06 : inscrit MH,,16e siècle,,,,,,,,,,,,,,,,,,,
PA33000019,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Ancien prieuré de Bardanac,Bayonne (route de) 759,propriété d'une société privée,,"L'ancien logis et le porche d'entrée coiffé de son pavillon, en totalité (cad. DI 250, 252) : inscription par arrêté du 26 novembre 1998",1998/11/26 : inscrit MH,,16e siècle , 18e siècle,,,,,,,,,,,,,,,,,,
PA33000018,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Hôtel des archives départementales de la Gironde,"Aviau (rue d') 13, 25",propriété du département,,Hôtel en totalité (cad. PN 187) : inscription par arrêté du 8 avril 1998,1998/04/08 : inscrit MH,Labbé Pierre-Auguste (architecte),3e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA24000024,recensement immeubles MH,Aquitaine , Dordogne , Plazac,Aquitaine,24,Plazac,24330,Château des Evêques et ancien cimetière,,propriété de la commune,,"Les bâtiments situés sur la parcelle AP 46, y compris le sol de la cour intérieure "," l'église, ancienne chapelle castrale (cad. AP 47) ", le fossé sec (cad. AP 45) ," l'ancien cimetière situé sur les parcelles AP 44, 47 et 292, ainsi que la partie en contrebas (cad. AP 43) contiguë à l'église et délimitée sur le cadastre par une ligne de tirets (cad. AP 43 à 47, 292) : classement par arrêté du 6 juin 2005",2005/06/06 : classé MH,,12e siècle , 13e siècle , 15e siècle , 17e siècle,,,,,,,,,,,,,
PA24000023,recensement immeubles MH,Aquitaine , Dordogne , Paunat,Aquitaine,24,Paunat,24318,Maison dite La Recette,,propriété d'une personne privée,,L'avant-corps méridional avec son passage couvert (cad. B 306) : inscription par arrêté du 20 octobre 1998,1998/10/20 : inscrit MH,,4e quart 12e siècle , 1er quart 13e siècle,,,,,,,,,,,,,,,,,,
PA24000022,recensement immeubles MH,Aquitaine , Dordogne , Verteillac,Aquitaine,24,Verteillac,24573,Château de la Meyfrenie,,propriété d'une personne privée,,"Les dépendances, en totalité (cad. B 486 ) : inscription par arrêté du 5 mars 1998 - Le château, son parc, la cour et le verger clos de murs, avec leurs réservoirs, en totalité (cad. AC 45, 51) : inscription par arrêté du 14 septembre 2010",1998/03/05 : inscrit MH , 2010/09/14 : inscrit MH,,1ère moitié 19e siècle,,,,,,,,,,,,,,,,,,
PA24000021,recensement immeubles MH,Aquitaine , Dordogne , Domme,Aquitaine,24,Domme,24152,Château de Caudon,,propriété d'une personne privée,,Les façades et les toitures (cad. A 187) : inscription par arrêté du 5 mars 1998,1998/03/05 : inscrit MH,Maleville Lucien de (peintre),1ère moitié 19e siècle,,,,,,,,,,,,,,,,,,,
PA24000020,recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Château de Campagnac,,propriété de la commune,,La tour d'escalier avec sa voûte en berceau tournant sur le noyau (cad. AK 2) : inscription par arrêté du 5 mars 1998,1998/03/05 : inscrit MH,,14e siècle , 16e siècle,,,,,,,,,,,,,,,,,,
PA64000025,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Castet,Aquitaine,64,Castet,64175,Eglise Saint-Polycarpe,,propriété de la commune,,Eglise et son enceinte (cad. A 137 à 140 ," l'enceinte délimite les parcelles 140 et 139, traverse la parcelle 138 et longe la voie communale no 1 dite voie de l'église, domaine public, non cadastré) : inscription par arrêté du 11 septembre 1997",1997/09/11 : inscrit MH,,11e siècle , 15e siècle , 16e siècle , 3e quart 19e siècle,,,,,,,,,,,,,,,
PA64000024,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Thèze,Aquitaine,64,Thèze,64536,Eglise Saint-Pierre de Thèze,,propriété de la commune,,Eglise (cad. B 608) : inscription par arrêté du 17 janvier 1997,1997/01/17 : inscrit MH,,12e siècle , 16e siècle , 19e siècle,,,,,,,,,,,,,,,,,
PA64000023,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Sévignacq-Meyracq,Aquitaine,64,Sévignacq-Meyracq,64522,Eglise Saint-Pierre,,propriété de la commune,,Eglise (cad. D 236) : inscription par arrêté du 16 octobre 1997,1997/10/16 : inscrit MH,,1ère moitié 17e siècle,,,,,,,,,,,,,,,,,,,
PA64000022,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Salies-de-Béarn,Aquitaine,64,Salies-de-Béarn,64499,Etablissement thermal,,propriété d'une société privée,,"Parties d'origine, à savoir les façades et toitures (à l'exclusion des adjonctions modernes de la façade sud) et la galerie des bains dans sa partie orientale (cad. AI 125) : inscription par arrêté du 11 septembre 1997",1997/09/11 : inscrit MH partiellement,Lagarde Adrien (architecte),4e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA64000021,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Saint-Pée-sur-Nivelle,Aquitaine,64,Saint-Pée-sur-Nivelle,64495,Redoute napoléonienne d'Ibarartéa,,propriété d'une personne privée,,Redoute (cad. F 1069) : inscription par arrêté du 18 novembre 1997,1997/11/18 : inscrit MH,,1er quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA64000020,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Pau,Aquitaine,64,Pau,64445,Chapelle funéraire Guillemin-Montebello dans le Grand Cimetière,,propriété d'une personne privée,,"Chapelle funéraire (zone A, carré 4, concession P2 177) (cad. CI 147) : inscription par arrêté du 27 novembre 1997",1997/11/27 : inscrit MH,Geisse H. (architecte) , Alexandre L.-J. (sculpteur),4e quart 19e siècle,,,,,,,,,,,,,,,,,,
PA64000019,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Mascaraàs-Haron,Aquitaine,64,Mascaraàs-Haron,64366,Château de Mascaraàs,Simacourbe (chemin dit de),propriété d'une personne privée,,Château (cad. AC 136) : inscription par arrêté du 9 décembre 1997,1997/12/09 : inscrit MH,,16e siècle , 17e siècle , 18e siècle,,,,,,,,,,,,,,,,,
