FID,codcomm,id_sect,surface,type,phasage,coment,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area
420,020481,2605,17922,Ah, , ,{4E4A3DDC-6F62-4DEA-9712-A8C6730EEECC},2018/11/16 18:17:09,mickael.delaere,2018/11/16 18:17:09,mickael.delaere,612.361727339347,17922.1012341144
421,020459,2606,8025,Ah, , ,{DE7E7353-E51B-44D7-A517-3A10D0E42EC1},2018/11/16 18:17:09,mickael.delaere,2018/11/16 18:17:09,mickael.delaere,418.828450310435,8024.76524334618
422,020322,2859,7537,2AU,12 à 18 ans,Zones où s'applique le droit de préemption urbain (DPU),{69A29FC6-FE11-48C0-B5B6-59F74B9BB88F},2018/11/16 18:17:10,mickael.delaere,2018/11/16 18:17:10,mickael.delaere,436.820559300371,7537.16067051348
423,020481,2620,4323002,A, , ,{8171EABE-D309-4C03-BC79-160CB8099C9E},2018/11/16 18:17:10,mickael.delaere,2018/11/16 18:17:10,mickael.delaere,19504.8803367118,4323002.11219346
424,020691,2696,139889,NL, , ,{10AC99DC-06E0-4694-817A-EAF9495FBE11},2018/11/16 18:17:11,mickael.delaere,2018/11/16 18:17:11,mickael.delaere,1737.50580208213,139889.175804797
425,020303,2703,2602,NL, , ,{895750D3-237C-4562-811B-884ACCDAA8DB},2018/11/16 18:17:11,mickael.delaere,2018/11/16 18:17:11,mickael.delaere,519.77528761583,2602.26306613307
426,020549,2143,43522,UE, ,Zones où s'applique le droit de préemption urbain (DPU),{C7DB7492-0372-4D17-830A-340E257BC20B},2018/11/16 18:17:12,mickael.delaere,2018/11/16 18:17:12,mickael.delaere,879.404934965431,43522.056243349
427,020549,2143,13405,UE, ,Zones où s'applique le droit de préemption urbain (DPU),{7D19CB69-C0C8-493D-B885-F5AF9CA88617},2018/11/16 18:17:12,mickael.delaere,2018/11/16 18:17:12,mickael.delaere,642.501663775815,13405.2121594635
428,020691,2704,37078,NL, , ,{28BD8054-C3CB-4023-98E9-3A6E9DD0097A},2018/11/16 18:17:13,mickael.delaere,2018/11/16 18:17:13,mickael.delaere,774.227388891819,37077.5801315268
429,020340,2571,274519,A, , ,{DF8CDE0E-0357-44D0-9BBA-21B7EFDA76DB},2018/11/16 18:17:14,mickael.delaere,2018/11/16 18:17:14,mickael.delaere,2356.00247285864,274518.524671153
